name,time,CO2Concentration,Co2Concentration,deviceId,distance,environmentHumidity,environmentPressure,environmentTemperature,internalTemperature,nonContactWaterLevel,potentialOfHydrogen,totalDissolvedSolids,totalOrganicCompounds,waterFlow,waterTemperature
data_yaku,1629355551960000000,,-1,ESP32_473938,22,46.285,88450.336,23.92,45,0,6.226,1379.98,-1,0,21.125
data_yaku,1629355612593000000,,-1,ESP32_473938,22,46.296,88453.062,23.92,53.333,0,6.226,1379.98,-1,0,21.188
data_yaku,1629355672233000000,,-1,ESP32_473938,22,46.326,88455.062,23.92,44.444,0,6.356,1379.98,-1,0,21.188
data_yaku,1629355732889000000,,-1,ESP32_473938,22,46.336,88452.344,23.92,53.333,0,6.312,1379.98,-1,0,21.312
data_yaku,1629355792509000000,,-1,ESP32_473938,22,46.315,88452.375,23.92,45,0,6.356,1379.98,-1,0,21.312
data_yaku,1629355852139000000,,-1,ESP32_473938,22,46.315,88450.25,23.91,53.333,0,6.334,1379.98,-1,0,21.375
data_yaku,1629355912786000000,,-1,ESP32_473938,22,46.325,88448.547,23.91,45,0,6.356,1379.98,-1,0,21.312
data_yaku,1629355972419000000,,-1,ESP32_473938,22,46.355,88447.141,23.91,53.333,0,6.312,1379.98,-1,0,21.375
data_yaku,1629356032049000000,,-1,ESP32_473938,22,46.294,88442.016,23.9,53.333,0,6.334,1379.98,-1,0,21.375
data_yaku,1629356092689000000,,-1,ESP32_473938,22,46.283,88441.242,23.89,45,0,6.356,1379.98,-1,0,21.375
data_yaku,1629356152329000000,,-1,ESP32_473938,22,46.253,88438.875,23.9,45,0,6.312,1379.98,-1,0,21.312
data_yaku,1629356211990000000,,-1,ESP32_473938,22,46.232,88435.75,23.89,44.444,0,6.356,1379.98,-1,0,21.312
data_yaku,1629356272630000000,,-1,ESP32_473938,22,46.281,88441.469,23.88,45,0,6.356,1379.98,-1,0,21.312
data_yaku,1629356332250000000,,-1,ESP32_473938,22,46.251,88438.781,23.88,44.444,0,6.356,1379.98,-1,0,21.312
data_yaku,1629356392870000000,,-1,ESP32_473938,22,46.229,88440.062,23.87,53.333,0,6.334,1379.98,-1,0,21.375
data_yaku,1629356452498000000,,-1,ESP32_473938,22,46.21,88436.609,23.87,44.444,0,6.356,1379.98,-1,0,21.375
data_yaku,1629356512149000000,,-1,ESP32_473938,22,46.25,88439.016,23.87,45,0,6.356,1379.98,-1,0,21.375
data_yaku,1629356572781000000,,-1,ESP32_473938,22,46.188,88434.906,23.86,53.333,0,6.312,1379.98,-1,0,21.312
data_yaku,1629356632418000000,,-1,ESP32_473938,22,46.058,88437.906,23.86,44.444,0,6.312,1379.98,-1,0,21.312
data_yaku,1629356692069000000,,-1,ESP32_473938,22,45.946,88437.953,23.86,45,0,6.356,1379.98,-1,0,21.375
data_yaku,1629356752696000000,,-1,ESP32_473938,22,45.865,88431.055,23.85,53.333,0,6.334,1379.98,-1,0,21.375
data_yaku,1629356812340000000,,-1,ESP32_473938,22,45.936,88432.422,23.85,44.444,0,6.312,1379.98,-1,0,21.375
data_yaku,1629356871988000000,,-1,ESP32_473938,22,45.976,88429.328,23.85,53.333,0,6.312,1379.98,-1,0,21.375
data_yaku,1629356932648000000,,-1,ESP32_473938,22,46.027,88430.781,23.86,53.333,0,6.312,1379.98,-1,0,21.312
data_yaku,1629357010370000000,,-1,ESP32_473938,22,46.097,88426.969,23.85,53.333,0,6.312,1379.98,-1,0,21.312
data_yaku,1629357027983000000,,-1,ESP32_473938,22,46.091,88430.641,23.89,44.444,0,6.356,1379.98,-1,0,21.312
data_yaku,1629357087614000000,,-1,ESP32_473938,22,46.13,88435.375,23.88,53.333,0,6.291,1379.98,-1,0,21.312
data_yaku,1629357148262000000,,-1,ESP32_473938,22,46.21,88429.828,23.87,44.444,0,6.334,1379.98,-1,0,21.375
data_yaku,1629357207917000000,,-1,ESP32_473938,22,46.249,88434.859,23.86,44.444,0,6.377,1379.98,-1,0,21.375
data_yaku,1629357267562000000,,-1,ESP32_473938,22,46.3,88436.227,23.86,44.444,0,6.334,1379.98,-1,0,21.375
data_yaku,1629357328215000000,,-1,ESP32_473938,22,46.278,88434.781,23.85,44.444,0,6.356,1379.98,-1,0,21.375
data_yaku,1629357387864000000,,-1,ESP32_473938,22,46.197,88432.055,23.85,53.333,0,6.291,1379.98,-1,0,21.375
data_yaku,1629357447510000000,,-1,ESP32_473938,22,46.075,88428.266,23.84,45,0,6.291,1379.98,-1,0,21.312
data_yaku,1629357508114000000,,-1,ESP32_473938,22,45.976,88429.648,23.85,53.333,0,6.312,1379.98,-1,0,21.312
data_yaku,1629357567759000000,,-1,ESP32_473938,22,45.864,88425.195,23.84,44.444,0,6.356,1379.98,-1,0,21.375
data_yaku,1629357627406000000,,-1,ESP32_473938,22,45.824,88422.828,23.85,53.333,0,6.334,1379.98,-1,0,21.375
data_yaku,1629357688030000000,,-1,ESP32_473938,22,45.937,88422.555,23.85,53.333,0,6.312,1379.98,-1,0,21.375
data_yaku,1629357747655000000,,-1,ESP32_473938,22,46.027,88423.234,23.85,53.333,0,6.334,1379.98,-1,0,21.375
data_yaku,1629357807309000000,,-1,ESP32_473938,22,46.106,88422.828,23.85,44.444,0,6.356,1379.98,-1,0,21.375
data_yaku,1629357867937000000,,-1,ESP32_473938,22,46.127,88421.148,23.85,45,0,6.334,1379.98,-1,0,21.312
data_yaku,1629357927578000000,,-1,ESP32_473938,22,46.136,88421.094,23.84,44.444,0,6.356,1379.98,-1,0,21.312
data_yaku,1629357988214000000,,-1,ESP32_473938,22,46.166,88420.727,23.84,44.444,0,6.312,1379.98,-1,0,21.312
data_yaku,1629358047859000000,,-1,ESP32_473938,22,46.245,88421.625,23.82,53.333,0,6.312,1379.98,-1,0,21.312
data_yaku,1629358107511000000,,-1,ESP32_473938,22,46.216,88425.781,23.83,53.333,0,6.356,1379.98,-1,0,21.375
data_yaku,1629358168119000000,,-1,ESP32_473938,22,46.085,88423.008,23.82,44.444,0,6.334,1379.98,-1,0,21.312
data_yaku,1629358227790000000,,-1,ESP32_473938,22,46.014,88421.281,23.82,45,0,6.377,1379.98,-1,0,21.375
data_yaku,1629358287406000000,,-1,ESP32_473938,22,46.005,88424.812,23.84,42.222,0,6.356,1379.98,-1,0,21.312
